periodo,fecha,hora,autopista,banda_y_o_ramal,pk,condiciones_meteorologicas,superficie_de_la_via,lesionados,fallecidos,tipo_de_siniestro,moto,liviano,bus,camion,B_Fallecidos,B_Lesionados,moto_o_liviano_involucrado,camion_o_bus_involucrado
201402,2/18/2014,11,AU PERTIO MORENO,TRANSICION RAMAL 3,RAMAL ENLACE,BUENO,MOJADA/HUMEDA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
201402,2/18/2014,12,AU DELLEPIANE,ASCENDENTE,4700,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,0,1,1,1
201402,2/19/2014,18,AV LUGONES,DESCENDENTE,7200,BUENO,SECA,0,0,OBSTACULO NO FIJO,1,0,0,0,0,0,1,0
201402,2/19/2014,19,AU 25 DE MAYO,DESCENDENTE,2000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201402,2/20/2014,6,AV CANTILO,ASCENDENTE,10100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,0,1,0
201402,2/20/2014,9,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,2,0,1,0,1
201402,2/20/2014,18,AU DELLEPIANE,DESCENDENTE,3800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,2/21/2014,1,AU FRONDIZI,DESCENDENTE,2400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/21/2014,2,AU DELLEPIANE,DESCENDENTE,1100,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
201402,2/21/2014,19,AU DELLEPIANE,DESCENDENTE,1800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/22/2014,6,AU PERTIO MORENO,DESCENDENTE,5400,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,0,0,1,0,0,0,1
201402,2/22/2014,21,AU FRONDIZI,ASCENDENTE,1200,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,0,1,0
201402,2/24/2014,9,AV LUGONES,DESCENDENTE,6500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/25/2014,8,AV LUGONES,DESCENDENTE,RAMPA EGRESO,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201402,2/25/2014,19,AU FRONDIZI,DESCENDENTE,100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201402,2/26/2014,8,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,2,0,1,0,1
201402,2/26/2014,13,AV LUGONES,DESCENDENTE,RAMPA EGRESO,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,1,0,0,0,0,1,1,0
201402,2/26/2014,18,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,0,0,1,1
201402,2/26/2014,22,AU FRONDIZI,ASCENDENTE,3000,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,1,1,0
201402,2/27/2014,8,AU DELLEPIANE,ASCENDENTE,1000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,0,1,0
201402,2/27/2014,13,AU 25 DE MAYO,DESCENDENTE,1000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,2,0,0,0,0,1,1,0
201402,2/27/2014,16,AU DELLEPIANE,ASCENDENTE,1100,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
201402,2/28/2014,7,AU 25 DE MAYO,ASCENDENTE,100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,0,0,1,1
201402,2/28/2014,7,AU FRONDIZI,DESCENDENTE,1000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/28/2014,8,AU FRONDIZI,DESCENDENTE,1000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201402,2/28/2014,11,AV LUGONES,DESCENDENTE,5100,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201402,2/28/2014,15,AU PERTIO MORENO,DESCENDENTE,5200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/28/2014,16,AU PERTIO MORENO,ASCENDENTE,2300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,0,0,1,1
201402,2/28/2014,19,AU PERTIO MORENO,DESCENDENTE,300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,0,1,0
201402,2/28/2014,20,AU DELLEPIANE,DESCENDENTE,2000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,1,0,0,0,1,1
201402,2/28/2014,22,AU PERTIO MORENO,DESCENDENTE,1500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201403,3/3/2014,2,AU 25 DE MAYO,ASCENDENTE,1600,BUENO,SECA,3,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
201403,3/3/2014,14,AV CANTILO,ASCENDENTE,8500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201403,4/3/2014,3,AU 25 DE MAYO,DESCENDENTE,7700,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201403,4/3/2014,8,AU 25 DE MAYO,DESCENDENTE,3500,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
